City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Asău,46.43,26.4,68.0,79,93,3.27,RO
Leningradskiy,69.38,178.42,40.82,72,0,11.54,RU
Nelson Bay,-32.72,152.15,59.0,77,90,8.05,AU
Doha,25.29,51.53,109.99,34,81,9.17,QA
Bud,39.45,-86.18,64.99,99,100,2.48,US
Yabrūd,33.97,36.66,89.6,35,0,16.11,SY
Bull Savanna,17.89,-77.59,73.71,88,92,7.29,JM
East London,-33.02,27.91,60.8,36,0,4.7,ZA
Portalegre,39.29,-7.43,82.0,44,67,6.93,PT
Newport,51.59,-3.0,64.99,77,77,2.71,GB
Baykit,61.67,96.37,63.63,75,94,5.79,RU
Arys,42.43,68.8,96.8,18,0,15.66,KZ
Ust'-Omchug,61.15,149.63,69.28,42,89,4.97,RU
Poronaysk,49.22,143.12,57.06,88,39,9.84,RU
Rozkishne,48.5,37.59,84.0,53,0,11.99,UA
Lorengau,-2.02,147.27,82.24,81,78,8.61,PG
Jamestown,42.1,-79.24,63.0,93,1,5.82,US
Chupa,66.27,33.05,60.4,57,72,9.89,RU
Mossamedes,-15.2,12.15,59.0,93,1,5.77,AO
Øksfjord,70.24,22.35,60.8,67,94,3.36,NO
Aktau,43.65,51.2,98.6,18,75,13.42,KZ
Kapit,2.02,112.93,83.14,69,98,1.81,MY
Port Hardy,50.7,-127.42,52.65,88,100,3.44,CA
Bilma,18.69,12.92,96.87,32,0,18.16,NE
Sohag,26.56,31.69,96.8,22,0,19.46,EG
Dauphin,51.15,-100.05,59.0,87,1,4.7,CA
Berlevåg,70.86,29.09,48.06,84,97,4.63,NO
Russell,32.35,-85.2,73.4,93,1,4.21,US
Tuatapere,-46.13,167.68,39.0,83,61,3.0,NZ
Garmsār,35.22,52.34,96.78,17,38,22.1,IR
Fukuechō,32.69,128.84,75.2,94,75,2.24,JP
Blackwater,-23.58,148.88,62.96,80,72,1.88,AU
Sinnamary,5.38,-52.95,77.2,87,25,6.93,GF
Nishihara,26.18,127.76,87.8,74,40,10.29,JP
Fort Nelson,58.81,-122.7,50.13,91,99,0.94,CA
Vestmanna,62.16,-7.17,50.0,100,75,5.82,FO
Cockburn Town,21.46,-71.14,82.54,78,98,18.54,TC
Oktyabr'skoye,43.06,44.74,82.4,45,100,4.47,RU
Hofn,64.25,-15.21,53.6,81,75,2.24,IS
Otukpo,7.19,8.13,77.38,87,74,4.21,NG
Kaitangata,-46.28,169.85,41.0,76,72,11.99,NZ
Lagoa,39.05,-27.98,68.27,85,3,15.03,PT
Yulara,-25.24,130.99,60.8,43,0,8.05,AU
Tra Vinh,9.93,106.35,85.8,75,98,6.62,VN
Ponta do Sol,32.67,-17.1,72.0,65,0,2.86,PT
Måløy,61.94,5.11,52.0,93,100,10.29,NO
Atar,20.52,-13.05,89.29,39,3,4.52,MR
Āsosa,10.07,34.53,72.86,76,100,4.03,ET
Ibotirama,-12.19,-43.22,61.27,75,53,2.01,BR
Provideniya,64.38,-173.3,53.37,63,0,1.1,RU
Krasnosel'kup,65.7,82.47,68.59,42,77,5.84,RU
Mildura,-34.2,142.15,51.8,76,90,5.82,AU
Waingapu,-9.66,120.26,81.18,66,64,15.79,ID
Velasco Ibarra,-1.05,-79.62,72.18,88,95,3.74,EC
Port Macquarie,-31.43,152.92,54.0,95,36,6.11,AU
Castro,-24.79,-50.01,57.29,77,2,6.82,BR
Lyuban',52.8,28.0,53.8,91,100,12.35,BY
Viedma,-40.81,-63.0,39.15,71,8,13.73,AR
Manbij,36.53,37.95,95.0,24,0,14.05,SY
Staunton,38.15,-79.07,66.0,88,1,3.36,US
Padang,-0.95,100.35,83.35,72,46,5.26,ID
Palmer,42.16,-72.33,71.6,88,1,6.93,US
Santana do Livramento,-30.89,-55.53,53.11,87,98,5.86,BR
Xining,36.62,101.77,80.11,26,0,8.05,CN
Massakory,13.0,15.73,83.79,61,79,11.92,TD
Ostrovnoy,68.05,39.51,54.77,70,99,14.65,RU
Vila Velha,-20.33,-40.29,64.99,93,0,2.24,BR
Nikopol',47.57,34.4,82.99,29,0,6.49,UA
Sobolevo,54.43,31.9,58.71,94,99,10.65,RU
High Level,58.52,-117.14,57.2,93,90,2.24,CA
Prokuplje,43.23,21.59,66.2,68,75,16.11,RS
Ginir,7.13,40.7,71.47,61,0,8.55,ET
Pesochenskiy,54.17,36.11,80.6,51,2,8.95,RU
Katsuura,35.13,140.3,82.0,88,75,19.46,JP
Quepos,9.42,-84.17,71.6,73,96,3.36,CR
Mandalgovi,45.76,106.27,85.01,17,24,5.37,MN
Black River,18.03,-77.85,78.8,78,20,1.12,JM
Te Anau,-45.42,167.72,39.65,88,13,4.36,NZ
Longyearbyen,78.22,15.64,48.2,70,75,4.7,SJ
Tiznit Province,29.58,-9.5,93.31,23,0,5.59,MA
Bajil,15.06,43.29,100.26,34,55,8.32,YE
Pangnirtung,66.15,-65.71,48.61,70,91,1.86,CA
Stara Vyzhivka,51.44,24.44,54.23,90,100,8.25,UA
Aygut,40.68,45.17,66.74,73,95,5.5,AM
Cabo San Lucas,22.89,-109.91,81.0,68,0,16.06,MX
Okhotsk,59.38,143.3,64.36,66,100,10.54,RU
Glendora,34.14,-117.87,73.0,45,5,1.57,US
Serenje,-13.23,30.24,77.16,33,0,11.99,ZM
Faanui,-16.48,-151.75,78.48,71,36,17.78,PF
Pasni,25.26,63.47,85.53,76,47,20.04,PK
Nouadhibou,20.93,-17.03,69.8,88,0,5.82,MR
Price,39.6,-110.81,69.8,26,1,8.05,US
Alta Floresta,-9.88,-56.09,70.99,64,44,2.91,BR
Taree,-31.9,152.47,59.0,82,31,2.95,AU
Vardø,70.37,31.11,46.99,89,100,14.54,NO
Saint-Joseph,-21.37,55.62,77.0,65,16,10.29,RE
Torbay,47.67,-52.73,57.99,93,90,16.11,CA
Mutsu,41.29,141.22,69.01,82,40,8.05,JP
El Carmen,8.51,-73.45,66.51,92,98,1.39,CO
Esperance,-33.87,121.9,59.0,54,0,11.41,AU
Comodoro Rivadavia,-45.87,-67.5,39.2,38,0,14.99,AR
Mehamn,71.04,27.85,50.31,76,74,7.16,NO
Namie,37.48,141.0,69.01,97,99,13.33,JP
Sangar,63.92,127.47,78.24,65,76,9.57,RU
Kawanoechō,34.02,133.57,77.0,73,75,6.93,JP
Erenhot,43.65,111.98,81.07,37,100,13.49,CN
Pulaski,34.77,-92.3,86.0,70,90,10.29,US
Ust-Kuyga,70.02,135.6,85.06,21,0,8.34,RU
Kapustin Yar,48.58,45.74,97.79,27,63,12.57,RU
Lüderitz,-26.65,15.16,57.2,62,0,2.24,NA
Sanford,28.8,-81.27,75.99,94,1,6.93,US
Matara,5.95,80.54,85.84,67,75,12.37,LK
Westport,41.14,-73.36,73.4,78,1,13.87,US
Hwange,-18.37,26.5,70.18,20,0,6.78,ZW
Myshkin,57.79,38.45,57.24,88,100,3.62,RU
Bariloche,-41.15,-71.31,32.0,94,90,10.29,AR
Bubaque,11.28,-15.83,78.73,87,100,17.34,GW
Magistral'nyy,56.17,107.45,78.08,51,92,7.0,RU
Candolim,15.52,73.76,78.8,94,90,8.05,IN
Emerald,-23.53,148.17,69.8,40,32,9.17,AU
Mahébourg,-20.41,57.7,71.6,78,75,16.11,MU
Makīnsk,52.63,70.42,80.71,56,0,14.65,KZ
Departamento de Maldonado,-34.67,-54.92,46.4,81,75,6.93,UY
Aswān,24.09,32.91,102.38,15,0,16.51,EG
Hoshcha,50.6,26.67,53.6,93,75,11.18,UA
Fuente Palmera,37.7,-5.1,86.0,42,36,2.24,ES
Lugo,43.0,-7.5,69.01,100,7,8.99,ES
Okha,53.57,142.95,55.09,85,53,6.4,RU
George Town,5.41,100.34,87.8,74,40,10.29,MY
Cidreira,-30.18,-50.21,59.2,97,100,10.78,BR
Oranjemund,-28.55,16.43,61.38,36,0,13.38,NA
Manaus,-3.1,-60.02,75.2,88,20,2.24,BR
Mezhdurechensk,53.69,88.06,76.87,44,45,4.12,RU
Huntsville,34.73,-86.59,73.0,94,20,2.71,US
Ayan,56.45,138.17,54.23,85,14,8.3,RU
Paita,-5.09,-81.11,63.03,84,4,6.93,PE
Petrozavodsk,61.78,34.35,64.4,59,40,11.18,RU
Chābua,27.48,95.17,80.6,94,75,9.17,IN
Christchurch,-43.53,172.63,50.0,81,99,10.29,NZ
Dikson,73.51,80.55,42.67,96,100,7.65,RU
Uvalde,29.37,-99.77,80.6,83,0,5.82,US
Shrewsbury,52.71,-2.75,62.01,71,100,1.12,GB
São João da Barra,-21.64,-41.05,67.14,84,28,10.58,BR
Portales,34.19,-103.33,80.01,38,1,9.17,US
Karla,59.37,24.93,71.01,52,40,8.05,EE
Kuala Terengganu,5.33,103.14,89.6,70,20,5.82,MY
Cardoso,-20.08,-49.91,65.39,64,65,3.83,BR
Itoman,26.12,127.67,87.8,79,75,4.7,JP
Kwang Binh,17.48,106.6,90.77,60,62,8.75,VN
Vallenar,-28.57,-70.76,57.65,44,27,2.37,CL
Bathsheba,13.22,-59.52,80.6,83,40,13.87,BB
Hidalgo,20.5,-99.0,57.58,93,94,0.72,MX
Caruray,10.31,119.01,86.0,70,90,4.7,PH
Kungurtug,50.6,97.52,81.91,27,83,5.95,RU
Narasapuram,16.45,81.67,92.88,57,100,8.39,IN
Poum,-20.23,164.02,72.39,73,20,16.84,NC
Nemuro,43.32,145.57,55.4,93,75,10.29,JP
Pochutla,15.74,-96.47,76.66,71,100,4.43,MX
Caravelas,-17.71,-39.25,66.83,89,18,0.36,BR
Heilbron,-27.28,27.97,49.15,44,0,11.18,ZA
Kieta,-6.22,155.63,80.2,78,89,6.6,PG
Khomeyn,33.64,50.08,87.8,20,20,26.4,IR
Garoowe,8.41,48.48,92.23,33,96,32.28,SO
Caloundra,-26.8,153.13,62.01,90,96,1.99,AU
Chapadinha,-3.74,-43.36,69.37,98,10,0.36,BR
Nan,18.83,100.67,86.0,74,40,2.24,TH
Vila Franca do Campo,37.72,-25.43,69.8,64,75,4.7,PT
Thompson,55.74,-97.86,55.4,87,90,3.36,CA
Tiksi,71.69,128.87,59.18,48,41,6.62,RU
Husavik,66.04,-17.34,57.2,62,75,3.36,IS
Porto-Novo,6.5,2.6,78.8,88,40,9.17,BJ
Izumo,35.37,132.77,73.4,78,90,10.29,JP
Mozarlândia,-14.74,-50.57,73.99,54,87,1.99,BR
Cândido Mendes,-1.45,-45.72,72.05,96,4,1.83,BR
Varhaug,58.61,5.65,53.01,99,100,8.99,NO
Mahanoro,-19.9,48.8,70.32,83,85,2.42,MG
Kudahuvadhoo,2.67,72.89,84.63,69,100,6.22,MV
Staryy Nadym,65.61,72.68,69.08,43,21,7.92,RU
Malpe,13.35,74.72,84.2,74,75,8.05,IN
Kikwit,-5.04,18.82,88.3,50,12,3.38,CD
Casablanca,33.59,-7.62,75.2,78,75,4.7,MA
Santa Isabel,-23.32,-46.22,55.4,93,65,3.02,BR
San Andrés,12.58,-81.7,77.0,94,90,11.41,CO
Bako,5.78,36.57,76.66,54,90,3.36,ET
Borogontsy,62.67,131.17,87.26,42,0,6.64,RU
Dunedin,-45.87,170.5,43.0,87,100,4.0,NZ
Vestmannaeyjar,63.44,-20.27,51.94,88,100,7.2,IS
Usinsk,65.99,57.53,57.58,87,100,22.57,RU
Punta Alta,-38.88,-62.07,41.9,63,73,20.11,AR
Panguipulli,-39.63,-72.33,44.01,100,75,2.24,CL
Pangoa,-12.12,-73.0,66.31,96,85,1.43,PE
Saint-Ambroise,48.55,-71.33,70.0,94,75,4.7,CA
Mikun',62.35,50.08,77.23,37,33,17.16,RU
Eyl,7.98,49.82,94.19,38,86,29.17,SO
Omboué,-1.57,9.26,75.74,83,89,8.48,GA
Motril,36.75,-3.52,82.4,32,39,11.41,ES
Fes,34.04,-5.0,86.0,48,75,9.17,MA
Dehlorān,32.69,47.27,110.7,6,0,20.94,IR
Kindersley,51.47,-109.17,59.0,87,20,16.11,CA
Quatre Cocos,-20.21,57.76,75.0,78,75,16.11,MU
Aklavik,68.22,-135.01,53.6,58,75,8.05,CA
Ulladulla,-35.35,150.47,53.6,93,90,8.05,AU
São Borja,-28.66,-56.0,61.48,99,86,6.24,BR
Zhigansk,66.77,123.37,77.29,50,55,8.52,RU
Griffith,41.53,-87.42,68.0,100,1,3.36,US
Necochea,-38.55,-58.74,36.0,82,0,4.0,AR
Ancud,-41.87,-73.82,37.99,93,40,8.05,CL
São José da Coroa Grande,-8.9,-35.15,74.77,82,42,13.09,BR
Baker City,44.77,-117.83,61.0,38,1,6.93,US
Huánuco,-9.93,-76.24,56.75,62,11,2.28,PE
Valera,9.32,-70.6,71.15,67,99,3.69,VE
Marsá Maţrūḩ,31.35,27.25,80.6,69,20,13.87,EG
Shingū,33.73,135.98,77.0,73,75,13.87,JP
Kloulklubed,7.04,134.26,84.2,74,75,6.93,PW
Laiyang,36.98,120.71,66.42,88,100,15.88,CN
Olafsvik,64.89,-23.71,50.47,91,100,11.83,IS
Lumphat,13.49,106.98,86.05,72,95,3.0,KH
Belaya Gora,68.53,146.42,76.01,36,15,10.38,RU
Avera,33.19,-82.53,70.0,69,1,4.7,US
Chake Chake,-5.25,39.77,81.09,71,47,12.24,TZ
Lata,40.16,-8.33,84.0,52,1,0.31,PT
Aylesbury,51.82,-0.81,62.01,65,89,1.01,GB
Ōhara,35.25,140.38,77.0,83,75,11.41,JP
Traverse City,44.76,-85.62,66.2,72,1,5.82,US
Zenica,44.2,17.91,60.8,82,90,5.82,BA
Jalu,29.03,21.55,87.49,30,0,3.36,LY
Gizo Government Station,-8.1,156.84,83.5,76,81,15.66,SB
Abu Kamal,34.45,40.92,102.54,17,0,12.37,SY
Morón,-34.65,-58.62,48.0,75,97,2.24,AR
Nuuk,64.18,-51.72,46.4,87,100,3.36,GL
Karatau,43.17,70.47,91.06,22,0,22.41,KZ
Eureka,40.8,-124.16,54.0,100,0,4.34,US
Labuan,5.28,115.24,86.0,74,20,2.24,MY
San Ignacio,17.16,-89.07,75.99,82,79,0.85,BZ
Tocopilla,-22.09,-70.2,56.26,66,14,6.11,CL
Saint Anthony,45.02,-93.22,66.99,77,1,4.7,US
Slave Lake,55.28,-114.77,55.4,93,90,6.93,CA
Halifax,44.65,-63.57,68.0,85,100,9.35,CA
Turukhansk,65.82,87.98,67.84,50,89,5.79,RU
Straumen,63.87,11.3,51.8,81,90,8.05,NO
Mtama,-10.3,39.37,89.04,34,0,4.34,TZ
Upata,8.01,-62.4,73.99,97,71,1.01,VE
Luba,3.46,8.55,82.4,78,40,6.93,GQ
Lagunas,-5.23,-75.68,70.18,93,0,0.76,PE
La Rioja,42.25,-2.5,64.4,88,71,1.12,ES
Cayenne,4.93,-52.33,75.2,100,58,7.0,GF
Todos Santos,23.45,-110.22,75.99,86,0,1.99,MX
Aden,12.78,45.04,88.16,75,71,10.69,YE
Kushmurun,52.45,64.63,86.65,46,4,13.0,KZ
Pak Chong,14.71,101.42,85.69,70,100,4.5,TH
Iquique,-20.22,-70.14,59.0,67,90,3.36,CL
Verkhoyansk,67.54,133.38,86.94,32,64,8.88,RU
Halmstad,56.67,12.86,59.0,62,57,18.34,SE
Rockhampton,-23.38,150.5,69.8,83,75,8.05,AU
Taşca,46.9,26.02,64.0,72,96,4.0,RO
Antsohihy,-14.88,47.99,90.32,30,0,10.83,MG
Balakhta,55.38,91.6,70.9,59,4,0.78,RU
San Cristobal,7.77,-72.22,63.95,84,58,1.54,VE
Dāmghān,36.17,54.35,83.28,31,1,2.59,IR
Beloha,-25.17,45.05,84.56,28,0,14.45,MG
Zambezi,-13.54,23.1,78.66,22,0,8.5,ZM
Ixtapa,20.7,-105.2,75.0,96,100,4.47,MX
Mount Darwin,-16.77,31.58,77.72,23,0,7.02,ZW
Marawi,8.0,124.29,82.99,79,100,1.99,PH
Kandrian,-6.22,149.55,78.67,88,76,9.08,PG
Krasnaya Gorka,55.2,56.67,82.36,44,75,3.31,RU
Pinheiro Machado,-31.58,-53.38,46.0,100,93,8.99,BR
Broome,42.25,-75.83,66.99,93,90,8.05,US
Benátky nad Jizerou,50.29,14.82,66.99,45,20,2.24,CZ
Sakaiminato,35.55,133.23,73.4,73,75,8.05,JP
Ust-Nera,64.57,143.2,78.75,27,68,3.42,RU
Trairi,-3.28,-39.27,72.9,85,15,7.38,BR
Payakumbuh,-0.22,100.63,79.43,82,42,2.39,ID
Neftçala,39.37,49.25,82.11,55,76,16.75,AZ
Turka,49.15,23.03,48.99,95,100,5.01,UA
Daru,-9.08,143.21,77.47,89,98,16.55,PG
San Quintín,30.48,-115.95,71.1,70,0,8.08,MX
Kumul,42.8,93.45,94.87,16,32,9.42,CN
Pringsewu,-5.36,104.97,84.99,71,20,1.7,ID
Maïné Soroa,13.21,12.02,83.86,58,95,10.56,NE
Martinsville,36.69,-79.87,64.0,100,1,2.86,US
Villazón,-22.09,-65.59,30.99,61,0,8.72,BO
Sandwick,60.0,-1.25,53.6,93,100,16.11,GB
Darnah,32.77,22.64,80.24,57,0,19.86,LY
Provincia di Ancona,43.55,13.17,77.0,69,29,5.82,IT
Arlit,18.74,7.39,98.8,26,0,10.2,NE
Kurchum,48.57,83.65,76.57,36,15,5.64,KZ
Xai-Xai,-25.05,33.64,69.57,52,38,18.63,MZ
Adiaké,5.29,-3.3,78.8,83,20,3.36,CI
Carroll,39.55,-77.02,71.6,68,1,5.82,US
Mweka,-4.85,21.57,84.02,57,67,3.78,CD
Nipawin,53.37,-104.0,59.0,93,1,5.82,CA
Acajutla,13.59,-89.83,70.0,100,12,6.15,SV
Alyangula,-13.85,136.42,75.2,53,90,6.93,AU
Córdoba,-31.41,-64.18,45.0,64,95,8.05,AR
Oddur,4.12,43.89,87.89,43,12,23.8,SO
Berbera,10.44,45.01,102.11,27,3,24.2,SO
Waipawa,-41.41,175.52,55.0,81,100,1.01,NZ
